序号,性别,评论内容,回复数,点赞数
1,男,看到这评论请点赞提醒我去喝水，我每天经常忘记喝水[tv_白眼],190,1084
2,男,喝水（海皇喊麦）,0,4
3,女,喝水~,0,0
4,男,回复 @_大莴苣_ :好的,0,2
5,男,回复 @宇曾昱宇_ :在喝了,0,2
6,女,再喝一杯[脱单doge],0,0
7,女,喝水，我也去喝水,0,0
8,男,回复 @树生Mellifluous :在喝,0,1
9,男,回复 @风伴故人离 :在喝了,0,1
10,女,大郎，该喝水了～[doge],0,1
11,男,回复 @晓朝怨涨喵喵喵 :喝了,0,0
12,男,回复 @濯尘尘尘尘尘 :在喝了,0,0
13,男,回复 @小龙家的林女仆阝 :喝不下了[大哭],0,2
14,男,回复 @小龙家的林女仆阝 :喝撑了[大哭],0,3
15,男,看到我再喝3杯水[doge],0,1
16,男,回复 @不想取新名了A :一瓶双萃喝完了,0,0
17,男,去！喝！水！（喝温的！）,0,0
18,男,回复 @童童的小方布 :好的,0,0
19,男,回复 @鬼畜的贝壳 :[艾恺特收藏集_亲亲！],0,0
20,男,喝水ww,0,0
21,男,回复 @树生Mellifluous :好,0,0
22,男,回复 @愉不是小鱼干 :OK,0,1
23,男,回复 @枫楠小生 :喝了,0,0
24,男,回复 @摆烂的龙鱼 :喝了,0,0
25,男,回复 @twentytwo-an :喝了,0,0
26,男,回复 @颗Ateam :好的,0,0
27,男,回复 @施云姝 :好的,0,0
28,男,朋友该喝水了，别喝太多[微笑],0,1
29,男,渴了会想起来的,0,0
30,男,回复 @官陵-马尧 :好,0,0
31,男,回复 @新朋友seek :好的,0,0
32,男,回复 @洛鹆鸢 :OK,0,1
33,女,喝水,0,0
34,女,该喝水了[doge],0,0
35,男,回复 @凛咫 :喝了,0,0
36,男,回复 @芝芝ziziuu :喝了,0,0
37,男,回复 @小黎栗栗 :好,0,0
38,男,喝水[喜欢],0,0
39,女,快去喝水,0,0
40,男,忘记喝水？,0,0
41,男,喝水,0,0
42,女,喝水去,0,0
43,男,回复 @一只沉默的黄瓜 :好,0,0
44,男,回复 @耿秋云 :喝了,0,0
45,男,回复 @鬼灯満月 :ok,0,0
46,男,回复 @Tree-Black-BG :渴到不行才想起来[热],0,0
47,男,回复 @西奥giao :好,0,0
48,男,回复 @微冰奶绿 :好,0,0
49,男,回复 @云淡枫倾_ :好[OK],0,0
50,女,快喝水,0,0
51,男,回复 @某只中二柠捏 :好的,0,0
52,男,回复 @みどりん绿兔 :好的,0,1
53,男,回复 @鬼畜的贝壳 :喝水[鹿乃十周年动态_摸头][鹿乃十周年动态_摸头][鹿乃十周年动态_摸头],0,0
54,男,回复 @鬼畜的贝壳 :ദ്ദി˶˃ ᵕ ˂ )✧,0,0
55,男,回复 @星予ZL7 :好的[OK],0,0
56,男,回复 @耿秋云 :[打call],0,0
57,女,喝水了[脱单doge],0,0
58,男,回复 @jason李火旺 :好的,0,0
59,女,喝水,0,0
60,男,回复 @下饭企鹅 :好,0,0
61,男,回复 @无敌旋风大刺猬 :好的,0,0
62,男,回复 @巴-巴-恩-波- :好[热],0,0
63,男,回复 @月九九_ :好~,0,0
64,男,回复 @琳源go :OK,0,0
65,男,回复 @kalooya :[生气],0,0
66,男,回复 @微笑的水杯 :好,0,0
67,男,回复 @墨镜修狗_ :好,0,0
68,男,回复 @起名起的我有点想死了 :好的,0,0
69,女,喝水水～啦,0,0
70,男,回复 @小元_爱吃饭 :好~,0,0
71,女,喝酒！,0,0
72,女,喝水,0,0
73,男,快去喝尿[doge],0,0
74,男,多饮多尿，所以快去撒尿[doge],0,0
75,男,回复 @森罗阿斯塔 :[笑哭],0,1
76,男,回复 @霧婉 :好,0,1
77,男,回复 @时馆面面仙 :好,0,0
78,男,回复 @-椰椰不是耶耶- :醉了咋办[笑哭],0,0
79,女,去喝水,0,0
80,男,回复 @所愿岁岁欢愉 :好,0,0
81,男,回复 @PSG的信努 :ok👌,0,0
82,男,回复 @岚棺 :好,0,0
83,女,看到我请去喝水 天冷了喝热水好吗？喝完喊一句“久旱逢甘霖 快哉快哉”[脱单doge],0,1
84,女,喝水水。,0,0
85,男,回复 @一只豆土 :好,0,0
86,男,回复 @陈萱宜爱喝无糖乌龙茶 :久旱逢甘霖 快哉快哉[脱单doge],0,2
87,女,你好，别喝水中毒了[笑哭],0,0
88,男,回复 @飞越边界_YUuKi :好的[笑哭],0,0
89,男,回复 @星离离1 :好👌,0,1
90,男,回复 @假鸡本饼安 :好的,0,1
91,女,你好 今天喝水了吗,0,1
92,男,回复 @小彦nru :喝了,0,1
93,男,回复 @星离离1 :一杯,0,1
94,女,喝水！,0,0
95,男,回复 @长命__ :好的,0,0
96,男,回复 @长命__ :女子的,0,0
97,男,喝了吗兄弟,0,0
98,男,回复 @筱悦zzo :好的,0,0
99,男,回复 @守护最色的猫猫头 :今天喝了[OK],0,0
100,男,回复 @---林某人---_ :好,0,0
101,男,回复 @Trainwastaken :好的,0,0
102,男,你也提醒我了[doge],0,0
103,男,回复 @我是名字Jack :注入灵魂（喝水版）[doge],0,0
104,男,回复 @距离la :一起喝,0,0
105,女,喝水！！,0,0
106,男,回复 @林玖zeronine :好,0,0
107,男,回复 @堕天使的落灰光环 :好的喵,0,0
108,男,回复 @玖霖ZERO :好,0,0
109,男,回复 @缓嘞个缓缓 :好,0,0
110,女,喝水,0,0
111,女,去，喝水[tv_doge],0,0
112,男,喝水,0,0
113,男,喝水啦,0,0
114,男,喝水~,0,0
115,男,去喝水,0,0
116,女,喝水,0,0
117,女,喝水,0,0
118,女,喝水( ゜- ゜)つロ,0,0
119,女,drink～,0,0
120,男,喝水,0,0
121,女,喝水 广东最近降温了记得保暖[给心心],0,0
122,男,喝水,0,0
123,男,喝水,0,0
124,女,新年好，去喝水,0,0
125,男,喝水,0,0
126,女,喝水,0,0
127,男,喝水,0,0
